City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed
bredasdorp,-34.5385222,20.0568771,42.8,93,64,18.48
kastamonu,41.376625,33.776497,51.18,88,0,1.92
lagoa,37.1356176,-8.4514359,82.4,39,0,13.87
fortuna foothills,32.6578265,-114.4118901,107.6,25,1,9.17
takoradi,4.9015794,-1.7830973,75.3,100,44,7.18
san juan,18.4655394,-66.1057355,36.42,82,0,4.16
lakes entrance,-37.8511185,147.995821,59.37,74,80,7.18
oskarshamn,57.26569929999999,16.4473984,57.2,82,32,5.82
doha,25.2854473,51.53103979999999,91.4,27,0,4.7
beringovskiy,63.065438,179.355123,54.6,91,0,7.52
south venice,27.0531128,-82.4242627,77.52,78,1,6.93
bani,13.65,-1.5,77.55,100,92,6.17
fiumicino,41.7735409,12.2397117,75.29,83,20,3.36
providencia,13.3387613,-81.3729372,47.67,94,24,1.14
bandarbeyla,9.498579999999999,50.8105261,75.66,84,0,28.88
srednekolymsk,67.43730699999999,153.728674,67.29,73,8,3.04
caconda,-13.7351702,15.0674317,51.45,82,8,2.37
longyearbyen,78.22317220000001,15.6267229,48.2,81,75,5.82
akureyri,65.68849209999999,-18.1261694,46.4,100,0,2.24
severo-kurilsk,50.66808,156.1138803,55.23,94,88,3.71
talnakh,69.5,88.39999999999999,44.52,95,92,15.9
petropavlovsk-kamchatskiy,53.0409109,158.677726,62.6,72,75,11.18
goderich,43.7428345,-81.7138942,69.9,76,8,12.33
beitbridge,-22.198902,30.0029572,59.64,91,48,13.22
polovinnoye,54.78940859999999,65.9674841,63.69,69,80,9.64
mandalgovi,45.7631589,106.2650297,66.3,86,68,11.99
port macquarie,-31.433333,152.9,69.8,40,0,8.05
kitimat,54.049366,-128.6283529,66.2,68,75,19.46
tura,25.5140712,90.2032141,80.52,93,56,3.15
ruatoria,-37.8927614,178.3194507,69.72,99,92,5.95
ossora,59.23308199999999,163.067535,55.5,100,20,6.73
saint-francois,16.2542635,-61.283115,64.4,82,0,2.24
fare,39.967072,-75.171281,79.35,100,64,9.64
mezhdurechensk,53.68363009999999,88.0813924,58.47,68,0,2.93
lebu,-37.6097143,-73.6483294,44.16,90,24,2.71
shangrao,28.454862,117.943433,83.22,81,24,3.38
mindelo,16.8765457,-24.9813499,71.91,73,0,8.19
coquimbo,-29.9590009,-71.3389183,44.6,87,0,9.17
the pas,53.8255265,-101.2476129,71.6,68,90,5.82
oranmore,53.2647506,-8.9297335,62.6,93,90,6.93
gisborne,-38.662334,178.017649,53.43,96,100,13.67
horsham,40.1784422,-75.1285061,51.18,98,92,13.78
mahibadhoo,3.756783299999999,72.9689398,82.95,100,68,6.4
tasbuget,44.7735327,65.5544515,71.6,46,90,10.29
olinda,-7.990632100000001,-34.8416598,77.0,78,0,14.99
kloulklubed,7.040244599999999,134.256193,75.2,94,90,13.87
cabinda,-5.5775197,12.1927103,69.27,100,88,7.96
kaduqli,11.0105443,29.7136456,70.08,92,56,4.83
marsh harbour,26.5241653,-77.09098089999999,83.76,98,64,15.01
springdale,36.18674420000001,-94.1288141,76.39,54,5,4.61
safwah,21.4197132,39.8265767,59.56,93,0,1.12
la rioja,42.2870733,-2.539603,42.18,85,0,3.71
victoria,-37.4713077,144.7851531,85.24,74,75,6.93
newtownards,54.5913787,-5.693170299999999,63.54,100,44,3.36
sibolga,1.7368371,98.78511209999999,74.4,89,68,0.92
ferrol,43.48964600000001,-8.2193451,71.58,94,0,2.26
labuhan,-6.0924495,105.9964291,81.06,79,24,3.71
montepuez,-13.1340453,38.9981052,50.82,87,0,3.27
antofagasta,-23.6509279,-70.39750219999999,55.4,76,90,10.29
netanya,32.321458,34.853196,80.44,74,40,9.17
batagay-alyta,67.79280899999999,130.4017789,63.51,70,48,4.16
bridgetown,13.0968511,-59.61448189999999,67.28,88,5,6.93
rock sound,39.014244,-95.67089899999999,83.67,99,80,18.03
katastarion,37.83013890000001,20.7569344,74.37,88,20,4.7
dalbandin,28.8854045,64.3963673,77.1,21,0,2.93
kushmurun,52.4473066,64.6214367,44.52,99,48,0.92
port blair,11.6233774,92.7264828,84.84,92,44,20.04
liverpool,53.4083714,-2.9915726,63.43,93,40,1.12
marmande,44.500484,0.159869,65.34,93,0,2.24
vostok,-77.500052,106.0000953,72.87,67,32,2.82
penzance,50.118798,-5.537592,60.8,93,90,3.36
corinto,12.4907414,-87.1784334,65.49,78,0,5.95
nikolskoye,55.1981604,166.0015368,66.2,82,0,2.24
kununurra,-15.7785409,128.7416854,75.2,25,80,17.22
yenagoa,4.921162100000001,6.274773400000001,70.44,90,32,4.5
fortuna,40.5981867,-124.1572756,74.3,83,0,3.36
pittsburg,38.0279762,-121.8846806,74.05,42,1,4.7
marcona,-15.3439659,-75.0844757,73.05,93,0,10.65
aklavik,68.219916,-135.0077881,46.4,70,90,9.17
sulina,45.1567446,29.6595489,80.56,74,40,9.17
puerto barrios,15.695364,-88.58551729999999,80.6,88,20,4.16
san felipe,31.0250709,-114.8407776,42.8,87,75,4.7
huarmey,-10.0664169,-78.1506824,55.77,90,8,4.16
zhoucheng,26.633316,100.5435,76.29,100,92,7.4
iskateley,67.666667,53.13333309999999,47.22,78,48,18.37
nawa,40.7560797,-73.9926681,82.14,71,12,14.45
mansa,29.9995069,75.3936808,82.4,78,40,6.93
gizo,-8.1058258,156.8349986,80.56,74,40,9.17
zhob,31.3497081,69.4665363,75.03,41,24,3.94
kaseda,42.5244427,-1.367422,84.2,74,75,8.05
kodiak,57.79000000000001,-152.4072221,82.4,54,1,3.36
batavia,41.8500284,-88.3125738,72.03,83,75,3.94
rosarito,32.3661011,-117.0617553,73.38,65,40,6.93
san lorenzo,-12.0782503,-77.2347674,57.2,82,75,5.82
stokmarknes,68.56483829999999,14.9098716,57.84,99,80,5.61
hermanus,-34.4092004,19.2504436,42.54,94,0,7.4
lima,-12.0463731,-77.042754,55.59,86,36,2.82
rincon,18.3401514,-67.24994590000001,72.99,100,40,3.36
asau,-13.5191366,-172.6294361,73.13,100,1,2.59
bandipur,11.7584093,76.44538370000001,70.44,85,68,2.37
senanga,-16.1178235,23.2960171,55.5,43,0,8.97
vaitape,-16.5062723,-151.7495305,78.36,100,88,8.19
el balyana,26.2354377,32.0029805,56.85,87,76,9.31
safakulevo,54.9897886,62.54712799999999,63.24,91,8,4.5
doctor pedro p. pena,-22.45,-62.34999999999999,80.79,100,80,18.92
barcelos,41.5320504,-8.6190525,71.82,73,0,1.92
provideniya,64.43272,-173.238567,62.6,59,0,4.47
boguchar,49.9378835,40.5529044,70.35,52,88,4.05
altay,47.844924,88.14125299999999,63.78,56,0,2.82
hue,16.4637117,107.5908628,93.2,52,20,6.93
aginskoye,51.1028317,114.5262839,61.44,95,92,12.21
nzega,-4.3920698,32.8986812,61.8,95,68,3.04
dzhebariki-khaya,62.21647300000001,135.8549959,67.74,69,0,3.38
kurumkan,54.3267321,110.3256457,63.78,68,76,2.15
brunswick,32.877746,-97.238708,67.19,82,0,3.36
samusu,-14.0056774,-171.4299586,73.05,93,0,10.65
yellowknife,62.4539717,-114.3717887,71.6,68,20,9.17
kilindoni,-7.912847799999999,39.6647178,76.56,99,0,11.1
vanavara,60.3394104,102.2965426,49.38,100,100,3.6
ixtapa,17.6625661,-101.58734,86.0,84,90,8.05
muswellbrook,-32.2848467,150.9049638,63.15,63,0,11.77
yar-sale,66.86258699999999,70.854469,46.95,100,64,7.4
luena,-11.7714258,19.8901427,54.78,69,0,2.59
ayan,56.45405599999999,138.167328,50.28,86,0,2.15
araouane,18.904265,-3.5275161,80.52,28,8,9.19
solnechnyy,51.206028,135.8729607,68.82,60,0,6.29
itaqui,-29.2429935,-56.4719928,54.33,94,92,9.19
nefteyugansk,61.09806409999999,72.5816466,46.4,100,75,8.95
mandali,43.08257440000001,-73.7847503,78.9,37,0,3.94
mehamn,71.0357069,27.8489412,53.6,87,75,3.36
saldanha,-33.0276981,17.9176312,64.68,75,0,2.71
port lincoln,-34.7239963,135.8611498,56.04,94,48,21.05
kupang,-10.1771997,123.6070329,84.2,66,75,9.17
saint george,37.0965278,-113.5684164,73.4,94,75,5.82
pisco,39.554435,-104.8823479,62.6,82,0,9.17
taltal,-25.283333,-69.766667,45.87,100,0,2.04
millington,35.3414744,-89.8973084,74.12,73,5,3.36
kruisfontein,-33.9843356,24.732102,56.4,93,88,5.73
saleaula,-13.4482906,-172.3367114,59.0,77,75,4.7
ekhabi,53.50858299999999,142.96743,62.43,77,64,13.0
changji,44.013183,87.30411199999999,88.08,78,64,4.16
hilo,19.7241106,-155.0868193,69.21,69,20,9.17
aksarka,66.5583101,67.7877623,48.12,72,44,12.33
rocha,-34.4809769,-54.3307438,39.39,87,8,7.74
morondava,-20.2904186,44.2999955,55.32,100,0,4.72
wadi musa,30.3216354,35.48012500000001,64.68,93,32,2.37
lanzhou,36.061089,103.834303,64.4,93,90,6.71
khryashchevka,53.8168303,49.0891636,62.6,88,0,4.47
salme,58.1627022,22.2492061,75.84,83,8,7.18
mount gambier,-37.8284212,140.7803529,50.64,98,92,6.62
chaoyang,39.921469,116.443107,91.68,75,0,6.96
mugur-aksy,50.382221,90.441277,53.7,71,20,2.82
lazaro cardenas,17.9567646,-102.1943485,89.6,22,20,3.71
kroya,-7.6331351,109.2474701,79.62,55,32,10.87
port-gentil,-0.7351025999999999,8.7591311,71.88,100,76,9.64
hamilton,39.3995008,-84.5613355,80.6,74,20,1.12
samana,19.2058371,-69.3362949,71.52,94,8,2.15
yerbogachen,61.2776586,108.0136671,69.9,58,44,6.96
campos do jordao,-22.7428673,-45.5963557,62.6,88,90,2.24
te anau,-45.4144515,167.718053,41.73,100,92,2.93
alta,36.1337243,-95.8902383,54.46,93,48,2.24
belushya guba,71.54555599999999,52.32027799999999,69.8,73,20,18.34
charagua,-19.7809492,-63.19732329999999,55.14,89,100,8.86
mogadishu,2.0469343,45.3181623,77.82,98,92,18.25
sekoma,-24.5141177,23.9313421,61.26,38,80,11.43
cumana,10.431916,-64.18331599999999,77.0,94,40,2.82
mahebourg,-20.4059505,57.7034222,66.2,88,20,6.93
touros,-5.1961669,-35.4635381,76.74,83,88,15.68
kainantu,-6.289925299999999,145.859323,77.19,63,36,0.92
inhambane,-23.8662153,35.3826756,63.96,100,0,7.4
vaini,-21.1935,-175.1751534,69.72,99,92,5.95
klaksvik,62.2271922,-6.5779064,50.0,100,76,1.12
grenada,12.1165,-61.67899999999999,75.2,88,1,2.15
pangnirtung,66.1465578,-65.7012182,44.34,89,92,12.66
boende,-0.2842862,20.8850949,71.34,100,88,2.37
lithakia,37.7192639,20.8283941,73.33,88,20,4.7
iberia,40.73148279999999,-74.16172209999999,75.39,86,92,2.15
houma,29.5957696,-90.71953479999999,83.94,74,12,3.94
mar del plata,-38.0054771,-57.5426106,49.74,48,36,17.36
newport,41.4901024,-71.3128285,64.54,100,20,4.7
tahe,52.334456,124.709996,60.54,83,92,2.93
ginda,42.027792,-88.0788785,60.27,100,80,1.59
sosnovo-ozerskoye,52.5237519,111.53472,60.18,100,88,7.63
zhangjiakou,40.76754400000001,114.886335,86.1,57,0,4.38
padang,-0.9470831999999999,100.417181,80.7,100,8,1.59
shingu,33.7241048,135.9924107,89.6,66,20,11.41
thinadhoo,0.531061,72.99772519999999,82.77,100,76,10.76
emerald,-23.527291,148.164573,71.34,58,0,9.42
tiguion,13.3475852,121.8847222,76.11,100,92,5.17
bunia,1.574278,30.23973359999999,56.49,90,20,3.04
banswada,18.3818488,77.8758114,76.47,82,88,11.77
sucre,29.9247915,-90.0852213,41.19,91,24,1.92
torbay,50.4392329,-3.5369899,66.2,72,90,31.09
amga,45.491135,-73.750945,67.74,70,0,6.4
acapulco,16.8531086,-99.8236533,84.2,74,75,4.7
nabire,-3.5095462,135.7520985,74.49,88,80,1.7
burkhala,62.649055,149.115627,66.2,88,20,6.93
naryan-mar,67.67100669999999,53.1078339,47.4,79,76,18.7
guerrero negro,27.9591758,-114.056646,74.22,83,0,11.54
alice springs,-23.698042,133.8807471,55.4,36,0,12.75
vung tau,10.4113797,107.136224,84.2,79,75,9.17
smithers,54.782355,-127.1685541,73.4,40,20,12.75
kharp,66.79789,65.8390579,45.96,78,64,14.67
westport,41.1414717,-73.3579049,59.28,99,92,7.52
palabuhanratu,-6.9852341,106.5475399,68.23,56,1,11.41
nguiu,-11.7608881,130.6330634,55.23,94,88,3.71
ghanzi,-21.6960991,21.6481861,58.74,39,88,10.42
prainha,37.1194608,-8.577498499999999,79.35,78,0,4.16
bathsheba,37.676748,-97.26482,80.6,74,40,20.8
virginia beach,36.8529263,-75.97798499999999,76.51,94,1,11.43
abha,18.2464685,42.5117238,68.0,88,75,8.05
cockburn town,21.4674584,-71.13891009999999,82.5,97,44,21.72
sao jose da coroa grande,-8.8943011,-35.1502449,71.16,100,100,6.17
byron bay,-28.6473671,153.601977,69.8,56,64,10.29
adwa,14.1636465,38.8937176,58.56,99,80,1.7
puerto escondido,15.8719795,-97.0767365,77.0,78,90,3.6
mastic beach,40.7667655,-72.85204759999999,78.58,100,20,11.41
cape town,-33.9248685,18.4240553,50.0,81,0,6.93
honggang,46.398418,124.891039,85.56,72,92,3.15
salinopolis,-0.6237762,-47.3457584,80.52,96,64,12.77
nalut,31.8742348,10.9750484,66.57,62,0,3.27
vredendal,-31.6391218,18.5285072,33.9,80,0,2.71
itigi,-5.706302,34.4946697,58.11,85,12,6.62
paradwip,20.3165523,86.6113628,77.37,100,92,7.18
pimentel,37.8734123,-122.2560176,72.87,96,24,3.38
yanan,36.585445,109.489757,71.6,46,90,10.29
dunedin,28.0197404,-82.7717684,47.22,100,92,3.94
mangrol,21.1171698,70.11581129999999,82.5,80,24,11.99
makakilo city,21.3469444,-158.0858333,83.44,69,75,10.29
anadyr,64.7336613,177.4968265,60.8,72,40,15.66
manggar,-2.8703151,108.2792729,86.28,67,36,15.46
bolungarvik,66.1517719,-23.261709,79.44,100,0,14.79
rorvik,64.8620756,11.2373374,54.15,100,24,3.71
stutterheim,-32.5885137,27.4321452,44.52,99,48,0.92
ostrovnoy,45.8124109,135.2848966,47.22,90,64,10.2
leningradskiy,55.77602770000001,37.6554251,36.6,98,92,14.67
shirokovskiy,58.85886,57.78709800000001,66.12,83,88,13.44
kagoro,9.614602999999999,8.39358,66.3,99,92,3.04
sur,34.081223,-118.385205,84.66,87,0,6.96
calawag,11.2953463,122.0585226,78.81,100,92,17.81
namatanai,-3.6528325,152.3917226,84.75,95,12,6.62
carnarvon,-24.884,113.661,26.61,63,0,2.93
umzimvubu,-30.7781755,28.9528645,47.22,90,64,10.2
iqaluit,63.74669300000001,-68.5169669,50.0,76,75,12.75
haibowan,39.691156,106.822778,64.41,74,64,13.89
ola,35.0323119,-93.22323449999999,66.2,68,75,4.47
one hundred mile house,51.64397049999999,-121.2950097,50.28,86,0,2.15
tautira,-17.74932,-149.160155,82.4,65,40,17.22
barajevo,44.6034915,20.45241,67.06,100,0,1.12
praia da vitoria,38.7339162,-27.0646976,69.8,88,20,10.42
lavrentiya,65.58354899999999,-171.0389249,53.07,86,36,5.73
khatanga,71.964027,102.4406129,51.18,85,92,12.1
umm lajj,25.026409,37.27076,74.58,100,0,1.36
sidney,40.2842164,-84.1554987,82.44,51,1,8.05
kushiro,42.9848542,144.3813556,75.2,78,75,9.17
derzhavinsk,51.098127,66.3165471,65.22,71,32,5.06
maniitsoq,65.4076761,-52.90057179999999,42.0,98,92,19.15
ambilobe,-13.2026069,49.0514094,60.9,92,0,3.15
ndele,8.4101505,20.6481794,58.05,87,0,3.36
qingdao,36.067108,120.382609,95.0,53,0,4.47
katobu,-4.830303199999999,122.7124903,83.94,78,12,2.59
praxedis guerrero,31.3685653,-106.0090264,96.13,15,75,4.7
wuwei,37.928267,102.638201,65.4,93,80,3.94
slave lake,55.2866833,-114.7711184,68.0,68,1,3.38
redhakhol,21.0741608,84.3410586,84.84,92,44,20.04
kahului,20.8893351,-156.4729469,82.92,62,40,25.28
seminole,28.7131688,-81.20781640000001,83.34,34,1,9.17
camocim,-2.9008418,-40.84209999999999,77.37,82,20,10.87
louisbourg,45.89219019999999,-59.9855516,59.0,58,0,4.7
ust-kan,50.933222,84.7522089,58.02,68,0,2.59
derby,37.5455735,-97.2689331,64.08,93,0,2.24
buluang,13.471834,123.3514203,87.8,58,75,18.34
forestville,38.4735237,-122.8902721,68.0,77,40,5.82
necochea,-38.5544968,-58.73960879999999,41.37,98,0,11.21
hemsedal,60.8630354,8.5523882,45.24,99,80,2.15
butaritari,3.1166667,172.8,84.12,100,68,10.31
ercis,39.029069,43.359149,59.0,58,0,4.7
nova prata,-28.7839487,-51.6077509,50.01,91,32,9.08
mananjary,-21.2245142,48.3464426,39.57,78,0,2.59
pemangkat,1.1552999,108.985882,54.15,100,24,3.71
linxia,35.601182,103.210538,59.28,99,92,3.49
puerto ayora,-0.7432918,-90.3156893,70.08,100,12,13.67
panjab,31.1471305,75.34121789999999,45.15,76,0,2.59
port hardy,50.7123867,-127.460393,59.0,82,90,6.93
cap-chat,49.09406620000001,-66.6857394,62.97,90,0,11.99
ponta do sol,32.6854883,-17.0864266,56.85,89,36,3.04
kudligi,14.9053562,76.3897733,73.05,90,100,13.22
barrow,71.29055559999999,-156.788611,41.37,83,0,11.77
barentsburg,78.0648475,14.2334597,79.8,60,76,4.61
kirakira,43.7775276,-79.4147216,80.79,100,80,18.92
ushuaia,-54.8019121,-68.3029511,42.8,56,75,5.82
campos,36.118519,-95.83439469999999,75.2,73,0,1.92
port elizabeth,-33.9608369,25.6022423,75.92,94,20,13.44
santa helena de goias,-17.8119748,-50.5981252,73.05,55,20,8.41
moranbah,-22.002777,148.057916,73.59,55,0,8.75
tarakan,3.3273599,117.5785049,82.5,91,88,7.29
mitzic,0.782292,11.5503832,70.35,92,88,2.37
noumea,-22.2710727,166.4416459,75.2,57,40,13.87
olafsvik,64.89604849999999,-23.7060262,53.88,100,8,4.61
san cristobal,16.7369928,-92.63759879999999,50.0,87,0,9.17
komsomolskiy,69.166667,172.7,42.18,75,0,15.46
vila,-17.7332512,168.3273245,75.2,78,40,2.24
tagusao,9.19385,117.810799,78.72,99,92,19.04
clyde river,70.47636500000002,-68.60126509999999,35.6,100,90,11.41
sinjar,36.3142158,41.8624425,72.06,94,0,10.09
busselton,-33.6554927,115.3500188,60.27,100,92,31.34
buraydah,26.3592309,43.98181200000001,80.6,34,0,2.24
dingle,52.14093889999999,-10.2640135,75.21,100,92,11.65
coahuayana,18.7372222,-103.6688888,67.02,91,32,1.7
tromso,69.6492047,18.9553239,57.2,82,75,5.82
port hedland,-20.3106621,118.5878223,68.0,18,0,16.11
teguldet,57.304527,88.17174899999999,55.95,68,20,3.49
iisalmi,63.56942369999999,27.1826451,66.2,100,0,5.82
amderma,69.751221,61.6636961,65.85,70,0,4.94
camacha,32.679852,-16.8502879,70.57,68,75,10.29
kawhia,-38.0684799,174.815611,54.87,100,0,7.18
saryshagan,46.119266,73.6086655,53.88,100,8,4.61
grand river south east,-20.2888094,57.78141199999999,79.35,100,64,9.64
laguna,33.5436902,-117.7820877,93.2,44,40,9.17
lodja,-3.5245104,23.5966577,71.97,92,56,2.37
coihaique,-45.5712254,-72.068265,35.6,93,80,2.24
aktau,43.6410973,51.1985113,78.8,34,0,13.42
zhanakorgan,43.9082043,67.24177,78.27,36,0,4.61
dekar,-21.5237263,21.9373445,59.1,38,92,9.08
salinas,36.6777372,-121.6555013,64.27,56,1,11.41
tuktoyaktuk,69.445358,-133.034181,44.6,70,75,11.41
caceres,39.4752765,-6.3724247,67.02,100,24,1.7
bluff,37.2844448,-109.5517877,69.54,57,12,6.85
bilibino,68.05963899999999,166.443893,67.65,55,0,1.7
valjala,58.4097322,22.7906801,65.85,70,0,4.94
comodoro rivadavia,-45.8656149,-67.4822429,55.4,32,0,16.11
manta,40.146482,-82.96474599999999,63.87,100,92,3.15
usinsk,65.9991695,57.5243292,45.24,95,92,21.83
ishinomaki,38.4344802,141.3029167,86.0,62,20,9.17
tasiilaq,65.6134561,-37.6335696,44.6,93,80,2.59
tomaszow lubelski,50.447024,23.4163099,61.35,88,0,4.94
emmett,43.8734978,-116.4993012,88.88,27,1,7.52
bulgan,48.9690913,102.8831723,64.77,88,20,3.94
tumannyy,68.878911,35.6675264,64.68,93,32,2.37
khani,56.933333,119.965,71.6,94,90,2.24
polohy,47.4726793,36.2625494,68.55,39,20,7.74
springfield,39.78172130000001,-89.6501481,78.8,47,1,5.82
riyadh,24.7135517,46.6752957,82.4,15,0,1.03
tonj,7.267511499999999,28.678979,64.05,60,0,5.61
voskresenskoye,56.8392353,45.4286958,68.28,64,0,5.84
eau claire,44.811349,-91.4984941,58.19,87,1,4.7
faanui,-16.5004126,-151.7414904,79.98,100,24,9.53
flin flon,54.7657685,-101.8762147,65.58,79,64,3.83
belem de sao francisco,-8.549488199999999,-39.0116869,71.43,62,0,13.56
victor harbor,-35.55,138.616667,55.4,71,40,18.34
yarada,17.6630996,83.27802779999999,79.35,100,44,26.53
topchikha,52.824354,83.119824,64.05,60,0,5.61
damghan,36.1646345,54.3576473,73.14,37,0,2.71
andenes,69.31607989999999,16.1202285,56.85,87,76,9.31
richards bay,-28.7807276,32.0382856,54.69,99,44,3.38
tessalit,20.2573532,0.9910297999999998,77.64,31,12,2.37
kapaa,22.0881391,-159.3379818,86.16,70,40,19.46
egvekinot,66.3205041,-179.1183787,52.08,63,68,6.51
nizhneyansk,71.450058,136.1122279,57.2,82,75,5.82
jalu,29.040621,21.4991334,80.79,48,0,12.44
charters towers,-20.0769637,146.2601362,71.52,84,0,6.62
yavaros,26.7048374,-109.51555,90.78,60,8,6.96
broome,42.1348907,-75.9088634,63.34,82,0,3.36
nuuk,64.18140989999999,-51.6941381,50.0,53,92,29.97
kingman,35.189443,-114.0530065,95.09,29,1,23.04
neiafu,-18.6476779,-173.9836854,78.8,54,40,2.24
ulaanbaatar,47.88639879999999,106.9057439,66.2,68,40,4.47
esmeralda,35.7462916,-95.3558001,35.7,88,88,1.36
ribeira grande,37.8210369,-25.5148137,73.32,100,80,11.99
rio gallegos,-51.6230485,-69.2168291,46.4,39,0,23.04
clarence town,23.0984997,-74.96617549999999,68.0,52,0,5.82
beyneu,45.3222362,55.181848,75.57,35,0,2.93
odweyne,9.410198200000002,45.06299019999999,95.0,53,0,4.47
cayenne,4.92242,-52.3134531,78.8,88,0,2.24
verkhnevilyuysk,63.44358839999999,120.3197132,64.77,75,20,3.6
rosetta,37.19055,-93.47829399999999,78.8,83,40,9.17
jamestown,37.2116383,-76.7752102,47.04,95,88,18.25
airai,7.396611799999999,134.5690225,81.33,37,0,1.7
malindi,-3.2191864,40.1168906,73.05,93,0,10.65
margate,26.2445263,-80.206436,57.2,44,75,1.12
lososina,49.75878609999999,20.5018212,62.07,78,36,6.73
bonthe,7.525702799999999,-12.5039922,75.84,91,92,4.72
sentyabrskiy,60.493056,72.19638909999999,77.82,98,92,18.25
basoko,1.2408277,23.611537,72.6,93,88,2.71
zhigalovo,54.8138199,105.1572145,72.15,73,0,3.04
saint anthony,45.0205565,-93.2179335,81.14,23,1,10.29
katsuura,35.152283,140.3209324,93.2,67,20,11.41
korgen,66.0771317,13.81531,55.4,93,92,4.7
qasigiannguit,68.8219742,-51.1817888,46.4,61,88,13.87
linhares,-19.4021415,-40.0670118,67.11,100,92,3.83
mitsamiouli,-11.3871698,43.2980711,73.05,100,0,4.61
deputatskiy,69.30260299999999,139.9583829,62.52,61,20,5.73
warqla,31.9526724,5.333523599999999,38.67,100,24,2.82
sola,36.0623861,-95.87351799999999,62.8,100,92,11.41
khasan,42.431389,130.6437279,81.51,73,8,4.61
mus,35.7499559,-95.3787657,76.28,57,0,3.36
requena,39.4391297,-1.1736994,77.0,69,0,2.24
ballina,-28.8379654,153.5629067,60.18,97,92,5.39
udachnyy,66.407021,112.2977807,61.98,64,68,4.83
bengkulu,-3.5778471,102.3463875,50.28,86,0,2.15
yangjiang,21.857958,111.982232,85.47,98,36,5.73
luganville,-15.5064326,167.2002745,79.35,99,8,11.21
belyye berega,53.2094302,34.65974569999999,62.6,88,0,4.47
calama,-22.4543923,-68.9293819,44.6,11,0,5.82
berlevag,70.7198284,29.0300862,53.6,87,75,3.36
vrangel,71.2488724,-179.9789208,71.97,92,0,7.74
koprivnica,46.1639381,16.8334753,79.62,55,32,10.87
ancud,-41.8675003,-73.8276965,48.12,98,92,9.31
dattapur,20.7933224,78.1393397,79.62,83,76,14.12
sitka,45.6927336,-111.0326519,80.88,48,0,14.12
chuy,36.0604658,-95.8560134,50.19,89,24,12.66
hithadhoo,-0.6060574,73.0892245,83.22,100,44,9.19
cherskiy,68.742677,161.3507839,65.31,43,24,4.16
mys shmidta,68.884224,-179.4311219,82.4,78,40,6.93
vysotsk,60.6251856,28.568911,64.4,100,5,2.24
carballo,43.2128129,-8.6915927,71.44,94,0,2.26
lubao,14.9021333,120.5509358,83.66,79,75,4.7
katherine,-14.6313686,132.0781796,84.2,37,0,8.05
axim,4.8665091,-2.240888,76.47,100,88,9.64
bose,32.9656633,-97.0425733,75.2,78,0,2.24
arraial do cabo,-22.9673373,-42.0268099,67.56,100,92,14.34
